,node,X,Y,ki,n,C,Lp_no_length,Lp_length,Gm_no_length,Gm_length,IIc
64,65,119.197622134,37.7563382534,1,1,0.0,5.0,5088.62045,0,0,
65,66,119.238236629,37.7469775848,0,0,0.0,0.0,0.0,0,0,
66,67,119.192923826,37.7409540862,3,3,1.0,0.333333333333,390.334663333,1,1,
67,68,119.195574995,37.7389809977,1,1,0.0,3.0,2662.285,0,0,
68,69,119.174330374,37.7515782608,1,1,0.0,3.0,4363.73894,0,0,
69,70,119.186804857,37.7355641313,1,1,0.0,5.0,4977.69037,0,0,
70,71,119.191194962,37.7410249943,3,3,1.0,0.5,526.421188333,3,3,
71,72,119.194995199,37.7384150825,1,1,0.0,5.0,4044.27079,0,0,
72,73,119.174199662,37.7501068021,1,1,0.0,5.0,6770.67449,0,0,
73,74,119.168178684,37.7532672716,1,1,0.0,19.0,30707.78232,0,0,
74,75,119.14022131,37.7639998503,3,3,1.0,2.16666666667,2336.03295,11,11,
75,76,119.138038488,37.764579487,1,1,0.0,19.0,15233.09916,0,0,
76,77,119.128080903,37.7600467725,3,3,1.0,1.83333333333,1799.52491667,15,15,
77,78,119.124671961,37.7612849982,3,3,1.0,2.16666666667,1909.63939,11,11,
78,79,119.125939388,37.7661738845,1,1,0.0,19.0,15859.80942,0,0,
79,80,119.114815408,37.764865181,1,1,0.0,19.0,17188.56048,0,0,
80,81,119.08461002,37.7826970429,3,3,1.0,31.0,42291.42006,65,65,
81,82,119.080303146,37.7790108653,1,1,0.0,219.0,273213.81786,0,0,
82,83,119.126859209,37.827710093,2,2,2.0,62.6666666667,85090.1884933,33,33,
83,84,119.146953934,37.7993662633,3,3,1.0,30.1666666667,41108.5187233,65,65,
84,85,119.147096702,37.798652425,1,1,0.0,214.0,249298.55582,0,0,
85,86,119.163145482,37.7902736631,1,1,0.0,39.0,32843.93971,0,0,
86,87,119.159687654,37.7874331279,2,2,2.0,10.0,9624.45517333,9,9,
87,88,119.125819629,37.7579867164,1,1,0.0,17.0,12621.24784,0,0,
88,89,119.091501282,37.7945476828,2,2,2.0,52.3333333333,70508.29767,93,93,
89,90,119.15664195,37.7776549724,3,3,1.0,3.83333333333,3507.86798,23,23,
