,node,X,Y,ki,n,C,Lp_no_length,Lp_length,Gm_no_length,Gm_length,IIc
0,1,119.039351934,37.8366108678,1,1,0.0,1.0,10324.81139,0,0,
1,2,119.093189618,37.8849266266,1,1,0.0,1.0,10324.81139,0,0,
2,3,119.046840062,37.823106948,1,1,0.0,223.0,416654.40436,0,0,
3,4,119.074789572,37.8130874714,3,3,1.0,31.6666666667,49227.7218467,33,33,
4,5,119.079109046,37.8117024795,3,3,1.0,26.5,45915.0416967,64,64,
5,6,119.098354829,37.8020094724,3,3,1.0,21.6666666667,30613.08459,201,201,
6,7,119.10026789,37.8162942565,1,1,0.0,11.0,19203.7716,0,0,
7,8,119.103623486,37.8411125327,3,3,1.0,1.16666666667,1302.56819333,7,7,
8,9,119.104271333,37.8366422173,3,3,1.0,1.16666666667,1302.56819333,7,7,
9,10,119.10552055,37.8255777236,1,1,0.0,11.0,12889.0892,0,0,
10,11,119.107781038,37.8309315109,1,1,0.0,11.0,10745.70988,0,0,
11,12,119.115068137,37.8507107805,1,1,0.0,11.0,13688.14492,0,0,
12,13,119.123110715,37.8463706436,1,1,0.0,190.0,319454.4272,0,0,
13,14,119.111617669,37.8130585219,3,3,1.0,26.1666666667,31528.0878433,95,95,
14,15,119.110151708,37.8116503356,3,3,1.0,21.6666666667,30610.4121133,201,201,
15,16,119.106504362,37.8050293203,3,3,1.0,18.5,28038.6857333,352,352,
16,17,119.140118732,37.8360979211,1,1,0.0,221.0,304859.45956,0,0,
17,18,119.084299132,37.7791448485,1,1,0.0,219.0,267305.81565,0,0,
18,19,119.114945066,37.809811735,3,3,1.0,26.5,33093.8410333,65,65,
19,20,119.123689585,37.8104066002,1,1,0.0,192.0,224244.90812,0,0,
20,21,119.109769738,37.8066589492,1,1,0.0,192.0,217939.36349,0,0,
21,22,119.144793529,37.8102998753,3,3,1.0,18.3333333333,27456.833825,361,361,
22,23,119.158813689,37.8148301187,3,3,1.0,21.5,31707.321355,195,195,
23,24,119.162658377,37.8188540489,1,1,0.0,162.0,208745.58867,0,0,
24,25,119.157177198,37.8022643579,1,1,0.0,185.0,236790.41667,0,0,
25,26,119.154585716,37.8100583805,4,4,0.666666666667,15.2,20513.981373,152,152,
26,27,119.143628105,37.7979420584,1,1,0.0,214.0,258635.67581,0,0,
27,28,119.137441507,37.7970854524,1,1,0.0,185.0,278118.39138,0,0,
28,29,119.135252403,37.7996552703,1,1,0.0,160.0,212360.73517,0,0,
29,30,119.134767854,37.8071743946,3,3,1.0,21.1666666667,30240.2845967,215,215,
30,31,119.127552096,37.8049825421,3,3,1.0,24.6666666667,32650.3325867,177,177,
31,32,119.114212891,37.793645069,3,3,1.0,29.5,42122.0243267,65,65,
32,33,119.106693794,37.788886147,1,1,0.0,210.0,282330.23437,0,0,
33,34,119.11059611,37.7860307938,1,1,0.0,210.0,284880.96409,0,0,
34,35,119.127884053,37.7897822963,3,3,1.0,29.5,41356.0184717,65,65,
35,36,119.131595641,37.795003898,1,1,0.0,210.0,271917.05857,0,0,
36,37,119.1262597,37.7671483411,1,1,0.0,210.0,361596.21682,0,0,
37,38,119.143511708,37.7789753848,1,1,0.0,1.0,1541.02551,0,0,
38,39,119.152910579,37.789088094,1,1,0.0,1.0,1541.02551,0,0,
39,40,119.157859858,37.7838235366,1,1,0.0,1.0,2385.67625,0,0,
40,41,119.141167939,37.7738726306,1,1,0.0,1.0,2385.67625,0,0,
41,42,119.141246735,37.7648727832,1,1,0.0,29.0,36739.30788,0,0,
42,43,119.154681754,37.7713618131,3,3,1.0,3.33333333333,3148.09041,29,29,
43,44,119.170931763,37.8063404635,3,3,1.0,0.5,447.584061667,3,3,
44,45,119.168654618,37.8009367075,1,1,0.0,5.0,3955.58715,0,0,
45,46,119.172866265,37.7988665765,1,1,0.0,5.0,4425.02301,0,0,
46,47,119.172554528,37.8167338749,1,1,0.0,5.0,5046.91169,0,0,
47,48,119.154991346,37.7696182503,3,3,1.0,3.5,3180.66695667,27,27,
48,49,119.154653015,37.7683904198,1,1,0.0,30.0,20341.7881,0,0,
49,50,119.163058912,37.7727980358,3,3,1.0,4.33333333333,3924.42803167,17,17,
50,51,119.159060986,37.7641148475,1,1,0.0,35.0,36491.29195,0,0,
51,52,119.175894225,37.7902086495,1,1,0.0,32.0,41775.88179,0,0,
52,53,119.192469194,37.7906713357,1,1,0.0,35.0,57869.00986,0,0,
53,54,119.181437839,37.7807583892,1,1,0.0,5.0,10346.15396,0,0,
54,55,119.20830779,37.7849852997,3,3,1.0,0.5,860.694236667,3,3,
55,56,119.195357685,37.7698128686,1,1,0.0,5.0,9655.42842,0,0,
56,57,119.211000112,37.7870063651,1,1,0.0,5.0,5819.24472,0,0,
57,58,119.175885758,37.765398765,1,1,0.0,1.0,670.51695,0,0,
58,59,119.171975107,37.7605668896,1,1,0.0,1.0,670.51695,0,0,
59,60,119.228489942,37.7617251845,1,1,0.0,1.0,4461.47114,0,0,
60,61,119.182845681,37.7583912524,1,1,0.0,1.0,4461.47114,0,0,
61,62,119.178776803,37.7511986177,1,1,0.0,5.0,5130.43505,0,0,
62,63,119.190255323,37.7495996199,3,3,1.0,0.5,465.968858333,3,3,
63,64,119.186657578,37.7464016243,1,1,0.0,5.0,3760.01025,0,0,
