,node,X,Y,ki,n,C,Lp_no_length,Lp_length,Gm_no_length,Gm_length,IIc
0,1,119.0384247,37.8380802961,2,2,2.0,104.666666667,103888.703867,43,43,
1,2,119.038267789,37.8137849119,3,3,1.0,33.5,43305.9837133,170,44,
2,3,119.038320205,37.8218387873,3,3,1.0,37.6666666667,44652.520915,164,44,
3,4,119.040673282,37.8225931558,3,3,1.0,39.6666666667,44103.5921567,43,294,
4,5,119.038394025,37.833312556,3,3,1.0,41.0,49000.5798733,315,315,
5,6,119.038410729,37.8359087357,3,3,1.0,45.5,50297.3060833,300,300,
6,7,119.059121461,37.8267771677,4,4,0.666666666667,30.6,37062.226385,202,202,
7,8,119.050884324,37.8293389403,1,1,0.0,349.0,404116.19193,0,0,
8,9,119.057016234,37.8234792796,1,1,0.0,349.0,388264.94068,0,0,
9,10,119.070652886,37.8262266053,3,3,1.0,57.5,68381.2629533,85,85,
10,11,119.07085514,37.8311449512,1,1,0.0,388.0,433774.10849,0,0,
11,12,119.070557707,37.8225075077,1,1,0.0,388.0,428041.5536,0,0,
12,13,119.041427838,37.81842753,4,4,0.666666666667,22.1,25568.683306,99,362,
13,14,119.039527196,37.8177685732,1,1,0.0,264.0,263540.08517,0,0,
14,15,119.045798668,37.8202909908,2,2,2.0,84.3333333333,90754.0148,13,14,
15,16,119.054089497,37.8207666941,2,2,2.0,86.0,95749.18844,9,9,
16,17,119.050520306,37.8161981289,3,3,1.0,38.3333333333,44870.2227367,36,164,
17,18,119.038291266,37.8173408736,3,3,1.0,34.6666666667,43181.5673083,181,61,
18,19,119.041862881,37.815952286,4,4,0.666666666667,20.6,25187.543046,100,388,
19,20,119.042166538,37.8142245786,4,4,0.666666666667,19.9,25071.178991,60,338,
20,21,119.050527547,37.8150544137,4,4,0.666666666667,22.3,26833.271351,61,205,
21,22,119.062596014,37.8163324185,3,3,1.0,37.3333333333,48243.9164583,195,195,
22,23,119.06465016,37.8165708462,3,3,1.0,43.1666666667,49310.2287917,163,163,
23,24,119.067102175,37.816855455,1,1,0.0,302.0,305244.04843,0,0,
24,25,119.050287946,37.8105250498,1,1,0.0,266.0,289969.04716,0,0,
25,26,119.083948759,37.8019362345,1,1,0.0,341.0,394160.0271,0,0,
26,27,119.073140673,37.80690751,3,3,1.0,49.6666666667,57808.5683167,85,85,
27,28,119.070528599,37.802578689,1,1,0.0,341.0,369757.52237,0,0,
28,29,119.044209242,37.8025623873,4,4,0.666666666667,20.0,26239.646213,208,389,
29,30,119.038060625,37.7998128624,3,3,1.0,33.6666666667,46296.3721467,170,30,
30,31,119.037932212,37.7911521171,3,3,1.0,36.5,49020.174395,168,13,
31,32,119.045162377,37.7912934995,3,3,1.0,36.1666666667,47289.6954183,192,360,
32,33,119.09237486,37.8853239548,1,1,0.0,357.0,724473.62456,0,0,
33,34,119.081415511,37.7775906193,3,3,1.0,37.1666666667,59650.3418533,363,363,
34,35,119.124275705,37.7668641134,3,3,1.0,41.0,74828.256635,349,349,
35,36,119.120987457,37.7787292983,1,1,0.0,289.0,506953.84527,0,0,
36,37,119.149651209,37.7632149763,3,3,1.0,45.5,85053.860705,295,295,
37,38,119.153300968,37.7627890977,3,3,1.0,50.6666666667,86733.365065,233,233,
38,39,119.165319468,37.8020692435,1,1,0.0,347.0,713328.63697,0,0,
39,40,119.160559768,37.7619420919,3,3,1.0,56.5,90504.6787067,163,163,
40,41,119.161625146,37.7585409478,1,1,0.0,382.0,559755.74433,0,0,
41,42,119.17800539,37.7597129461,3,3,1.0,63.0,100625.931407,85,85,
42,43,119.18012109,37.7648388012,1,1,0.0,421.0,629500.81246,0,0,
43,44,119.188545735,37.7595712718,1,1,0.0,421.0,643701.8411,0,0,
44,45,119.22247859,37.7179684276,1,1,0.0,316.0,860799.35639,0,0,
